user_id,product_id,abandon_time,cart_value
550e8400-e29b-41d4-a716-446655440000,aaa11111-bbbb-2222-cccc-333333333001,"2025-11-30 21:47:00",51.00
550e8400-e29b-41d4-a716-446655440000,aaa11111-bbbb-2222-cccc-333333333002,"2025-11-30 21:48:20",18.90
123e4567-e89b-12d3-a456-426614174001,aaa11111-bbbb-2222-cccc-333333333003,"2025-11-30 21:49:40",120.00
123e4567-e89b-12d3-a456-426614174001,aaa11111-bbbb-2222-cccc-333333333004,"2025-11-30 21:50:50",95.75
987f6543-e21b-12d3-a456-426614174002,aaa11111-bbbb-2222-cccc-333333333005,"2025-11-30 21:51:30",64.20
987f6543-e21b-12d3-a456-426614174002,aaa11111-bbbb-2222-cccc-333333333006,"2025-11-30 21:52:40",57.00
321cba98-e21b-12d3-a456-426614174003,aaa11111-bbbb-2222-cccc-333333333007,"2025-11-30 21:53:50",45.00
321cba98-e21b-12d3-a456-426614174003,aaa11111-bbbb-2222-cccc-333333333008,"2025-11-30 21:54:30",22.75
76543210-e21b-12d3-a456-426614174004,aaa11111-bbbb-2222-cccc-333333333009,"2025-11-30 21:55:40",60.00
76543210-e21b-12d3-a456-426614174004,aaa11111-bbbb-2222-cccc-333333333010,"2025-11-30 21:56:50",47.70
11111111-e21b-12d3-a456-426614174005,aaa11111-bbbb-2222-cccc-333333333011,"2025-11-30 21:57:40",96.50
11111111-e21b-12d3-a456-426614174005,aaa11111-bbbb-2222-cccc-333333333012,"2025-11-30 21:58:50",70.00
22222222-e21b-12d3-a456-426614174006,aaa11111-bbbb-2222-cccc-333333333013,"2025-11-30 21:59:40",62.50
22222222-e21b-12d3-a456-426614174006,aaa11111-bbbb-2222-cccc-333333333014,"2025-11-30 22:00:50",36.00
33333333-e21b-12d3-a456-426614174007,aaa11111-bbbb-2222-cccc-333333333015,"2025-11-30 22:01:40",64.50
33333333-e21b-12d3-a456-426614174007,aaa11111-bbbb-2222-cccc-333333333016,"2025-11-30 22:02:50",50.00
44444444-e21b-12d3-a456-426614174008,aaa11111-bbbb-2222-cccc-333333333017,"2025-11-30 22:03:40",35.60
44444444-e21b-12d3-a456-426614174008,aaa11111-bbbb-2222-cccc-333333333018,"2025-11-30 22:04:50",40.00
55555555-e21b-12d3-a456-426614174009,aaa11111-bbbb-2222-cccc-333333333019,"2025-11-30 22:05:40",55.90
55555555-e21b-12d3-a456-426614174009,aaa11111-bbbb-2222-cccc-333333333020,"2025-11-30 22:06:50",20.00
