user_id,recommended_product_id,display_time,algorithm_version
550e8400-e29b-41d4-a716-446655440000,aaa11111-bbbb-2222-cccc-333333333001,"2025-11-30 21:45:10","v1.0"
550e8400-e29b-41d4-a716-446655440000,aaa11111-bbbb-2222-cccc-333333333002,"2025-11-30 21:46:20","v1.0"
123e4567-e89b-12d3-a456-426614174001,aaa11111-bbbb-2222-cccc-333333333003,"2025-11-30 21:47:30","v2.0"
123e4567-e89b-12d3-a456-426614174001,aaa11111-bbbb-2222-cccc-333333333004,"2025-11-30 21:48:40","v2.0"
987f6543-e21b-12d3-a456-426614174002,aaa11111-bbbb-2222-cccc-333333333005,"2025-11-30 21:49:50","v1.1"
987f6543-e21b-12d3-a456-426614174002,aaa11111-bbbb-2222-cccc-333333333006,"2025-11-30 21:50:55","v1.1"
321cba98-e21b-12d3-a456-426614174003,aaa11111-bbbb-2222-cccc-333333333007,"2025-11-30 21:51:15","v2.1"
321cba98-e21b-12d3-a456-426614174003,aaa11111-bbbb-2222-cccc-333333333008,"2025-11-30 21:52:25","v2.1"
76543210-e21b-12d3-a456-426614174004,aaa11111-bbbb-2222-cccc-333333333009,"2025-11-30 21:53:35","v1.0"
76543210-e21b-12d3-a456-426614174004,aaa11111-bbbb-2222-cccc-333333333010,"2025-11-30 21:54:45","v1.0"
11111111-e21b-12d3-a456-426614174005,aaa11111-bbbb-2222-cccc-333333333011,"2025-11-30 21:55:55","v2.2"
11111111-e21b-12d3-a456-426614174005,aaa11111-bbbb-2222-cccc-333333333012,"2025-11-30 21:56:05","v2.2"
22222222-e21b-12d3-a456-426614174006,aaa11111-bbbb-2222-cccc-333333333013,"2025-11-30 21:57:15","v1.3"
22222222-e21b-12d3-a456-426614174006,aaa11111-bbbb-2222-cccc-333333333014,"2025-11-30 21:58:25","v1.3"
33333333-e21b-12d3-a456-426614174007,aaa11111-bbbb-2222-cccc-333333333015,"2025-11-30 21:59:35","v2.0"
33333333-e21b-12d3-a456-426614174007,aaa11111-bbbb-2222-cccc-333333333016,"2025-11-30 22:00:45","v2.0"
44444444-e21b-12d3-a456-426614174008,aaa11111-bbbb-2222-cccc-333333333017,"2025-11-30 22:01:55","v1.1"
44444444-e21b-12d3-a456-426614174008,aaa11111-bbbb-2222-cccc-333333333018,"2025-11-30 22:02:05","v1.1"
55555555-e21b-12d3-a456-426614174009,aaa11111-bbbb-2222-cccc-333333333019,"2025-11-30 22:03:15","v2.3"
55555555-e21b-12d3-a456-426614174009,aaa11111-bbbb-2222-cccc-333333333020,"2025-11-30 22:04:25","v2.3"
